Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,# of words,Q or S,Course Name (Source),Skills,
499,FR,978-1-4423-5032-8,French 2,25,0:02:50,0:02:52,02Q,42,N,It’s ten minutes away by car.,,,"French Phase 2, Units 1-30 (2004)","12,17,18",
500,FR,978-1-4423-5032-8,French 2,25,0:02:56,0:02:58,02R,43,M,C’est à dix minutes en voiture.,6,S,"French Phase 2, Units 1-30 (2004)","12,17,18",
501,FR,978-1-4423-5032-8,French 2,25,0:04:09,0:04:11,03Q,55,N,"One minute, I’m looking for the address.",,,"French Phase 2, Units 1-30 (2004)","12,17",
502,FR,978-1-4423-5032-8,French 2,25,0:04:17,0:04:19,03R,57,M,"Une minute, je cherche l’adresse.",5,S,"French Phase 2, Units 1-30 (2004)","12,17",
503,FR,978-1-4423-5032-8,French 2,25,0:04:53,0:04:54,04Q,63,N,We can go there on foot.,,,"French Phase 2, Units 1-30 (2004)","1,4,18",
504,FR,978-1-4423-5032-8,French 2,25,0:04:58,0:05:00,04R,64,M,Nous pouvons y aller à pied.,6,S,"French Phase 2, Units 1-30 (2004)","1,4,18",
505,FR,978-1-4423-5032-8,French 2,25,0:05:04,0:05:06,05Q,65,N,I know that you walk fast.,,,"French Phase 2, Units 1-30 (2004)","1,9",
506,FR,978-1-4423-5032-8,French 2,25,0:05:10,0:05:12,05R,66,M,Je sais que tu marches vite.,6,S,"French Phase 2, Units 1-30 (2004)","1,9",
507,FR,978-1-4423-5032-8,French 2,25,0:15:17,0:15:18,06Q,166,N,He plays pretty well.,,,"French Phase 2, Units 1-30 (2004)",1,
508,FR,978-1-4423-5032-8,French 2,25,0:15:24,0:15:25,06R,168,F,Il joue assez bien.,4,S,"French Phase 2, Units 1-30 (2004)",1,
509,FR,978-1-4423-5032-8,French 2,25,0:17:36,0:17:39,07Q,190,N,We played tennis at their place.,,,"French Phase 2, Units 1-30 (2004)",1,
510,FR,978-1-4423-5032-8,French 2,25,0:17:43,0:17:45,07R,191,F,Nous avons joué au tennis chez eux.,7,S,"French Phase 2, Units 1-30 (2004)",1,
511,FR,978-1-4423-5032-8,French 2,25,0:23:39,0:23:41,08Q,242,N,It’s already five o’clock.,,,"French Phase 2, Units 1-30 (2004)","12,17",
512,FR,978-1-4423-5032-8,French 2,25,0:23:44,0:23:46,08R,243,F,Il est déjà cinq heures.,5,S,"French Phase 2, Units 1-30 (2004)","12,17",
513,FR,978-1-4423-5032-8,French 2,25,0:27:17,0:27:18,09Q,272,N,See you on Wednesday.,,,"French Phase 2, Units 1-30 (2004)","7,17",
514,FR,978-1-4423-5032-8,French 2,25,0:27:21,0:27:21,09R,273,M,A mercredi.,2,S,"French Phase 2, Units 1-30 (2004)","7,17",
515,FR,978-1-4423-5032-8,French 2,25,0:28:45,0:28:47,10Q,288,N,We often play together.,,,"French Phase 2, Units 1-30 (2004)","1,9",
516,FR,978-1-4423-5032-8,French 2,25,0:28:53,0:28:55,10R,289,M,Nous jouons souvent ensemble.,4,S,"French Phase 2, Units 1-30 (2004)","1,9",
517,FR,978-1-4423-5032-8,French 2,26,0:02:21,0:02:22,01Q,32,N,What did you do Wednesday?,,,"French Phase 2, Units 1-30 (2004)","1,17",
518,FR,978-1-4423-5032-8,French 2,26,0:02:26,0:02:27,01R,33,F,Qu’est-ce que tu as fait mercredi?,6,Q,"French Phase 2, Units 1-30 (2004)","1,17",
519,FR,978-1-4423-5032-8,French 2,26,0:04:01,0:04:03,02Q,48,N,She played tennis at the university.,,,"French Phase 2, Units 1-30 (2004)","1,20",
520,FR,978-1-4423-5032-8,French 2,26,0:04:08,0:04:10,02R,49,F,Elle a joué au tennis à l’université.,7,S,"French Phase 2, Units 1-30 (2004)","1,20",
521,FR,978-1-4423-5032-8,French 2,26,0:07:14,0:07:16,03Q,78,N,How about going there by car?,,,"French Phase 2, Units 1-30 (2004)",18,
522,FR,978-1-4423-5032-8,French 2,26,0:07:19,0:07:21,03R,79,F,Si on y allait en voiture?,6,Q,"French Phase 2, Units 1-30 (2004)",18,
523,FR,978-1-4423-5032-8,French 2,26,0:08:58,0:08:59,04Q,98,N,You walk very slowly.,,,"French Phase 2, Units 1-30 (2004)","1,9",
524,FR,978-1-4423-5032-8,French 2,26,0:09:02,0:09:04,04R,99,M,Tu marches très lentement.,4,S,"French Phase 2, Units 1-30 (2004)","1,9",
525,FR,978-1-4423-5032-8,French 2,26,0:11:30,0:11:31,05Q,125,N,She plays tennis pretty well.,,,"French Phase 2, Units 1-30 (2004)","1,9",
526,FR,978-1-4423-5032-8,French 2,26,0:11:36,0:11:38,05R,126,F,Elle joue assez bien au tennis.,6,S,"French Phase 2, Units 1-30 (2004)","1,9",
527,FR,978-1-4423-5032-8,French 2,26,0:13:21,0:13:22,06Q,142,N,You play tennis better than me.,,,"French Phase 2, Units 1-30 (2004)","1,9",
528,FR,978-1-4423-5032-8,French 2,26,0:13:27,0:13:28,06R,143,F,Vous jouez au tennis mieux que moi.,7,S,"French Phase 2, Units 1-30 (2004)","1,9",
529,FR,978-1-4423-5032-8,French 2,26,0:13:35,0:13:36,07Q,144,N,It doesn’t matter,,,"French Phase 2, Units 1-30 (2004)",9,
530,FR,978-1-4423-5032-8,French 2,26,0:13:41,0:13:42,07R,145,F,Ça ne fait rien.,4,S,"French Phase 2, Units 1-30 (2004)",9,
531,FR,978-1-4423-5032-8,French 2,26,0:14:55,0:14:57,08Q,157,N,I have a meeting on Thursday.,,,"French Phase 2, Units 1-30 (2004)","17,20",
532,FR,978-1-4423-5032-8,French 2,26,0:15:00,0:15:02,08R,158,F,J’ai une réunion jeudi.,4,S,"French Phase 2, Units 1-30 (2004)","17,20",
533,FR,978-1-4423-5032-8,French 2,26,0:19:22,0:19:24,09Q,197,N,I’m coming back on Saturday.,,,"French Phase 2, Units 1-30 (2004)","17,18",
534,FR,978-1-4423-5032-8,French 2,26,0:19:27,0:19:28,09R,198,F,Je reviens samedi.,3,S,"French Phase 2, Units 1-30 (2004)","17,18",
535,FR,978-1-4423-5032-8,French 2,26,0:21:20,0:21:21,10Q,217,N,I have another meeting.,,,"French Phase 2, Units 1-30 (2004)",20,
536,FR,978-1-4423-5032-8,French 2,26,0:21:25,0:21:26,10R,218,F,J’ai une autre réunion.,4,S,"French Phase 2, Units 1-30 (2004)",20,
537,FR,978-1-4423-5032-8,French 2,27,0:04:47,0:04:48,01Q,58,N,She played better than me.,,,"French Phase 2, Units 1-30 (2004)",1,
538,FR,978-1-4423-5032-8,French 2,27,0:04:52,0:04:53,01R,59,F,Elle a joué mieux que moi.,6,S,"French Phase 2, Units 1-30 (2004)",1,
539,FR,978-1-4423-5032-8,French 2,27,0:07:59,0:08:01,02Q,87,N,I have a lot to do down there.,,,"French Phase 2, Units 1-30 (2004)","9,18",
540,FR,978-1-4423-5032-8,French 2,27,0:08:05,0:08:06,02R,88,F,J’ai beaucoup à faire là-bas.,5,S,"French Phase 2, Units 1-30 (2004)","9,18",
541,FR,978-1-4423-5032-8,French 2,27,0:11:38,0:11:39,03Q,124,N,My friend can assist me.,,,"French Phase 2, Units 1-30 (2004)","1,5",
542,FR,978-1-4423-5032-8,French 2,27,0:11:43,0:11:44,03R,125,F,Mon amie peut me renseigner.,5,S,"French Phase 2, Units 1-30 (2004)","1,5",
543,FR,978-1-4423-5032-8,French 2,27,0:16:41,0:16:42,04Q,177,N,It’s how much this book?,,,"French Phase 2, Units 1-30 (2004)",14,
544,FR,978-1-4423-5032-8,French 2,27,0:16:46,0:16:48,04R,178,F,C’est combien ce livre?,4,Q,"French Phase 2, Units 1-30 (2004)",14,
545,FR,978-1-4423-5032-8,French 2,27,0:18:44,0:18:45,05Q,200,N,I don’t have enough money with me.,,,"French Phase 2, Units 1-30 (2004)","11,14",
546,FR,978-1-4423-5032-8,French 2,27,0:18:50,0:18:52,05R,201,F,Je n’ai pas assez d’argent avec moi.,7,S,"French Phase 2, Units 1-30 (2004)","11,14",
547,FR,978-1-4423-5032-8,French 2,27,0:19:41,0:19:42,06Q,210,N,I have to exchange some money.,,,"French Phase 2, Units 1-30 (2004)","11,14",
548,FR,978-1-4423-5032-8,French 2,27,0:19:47,0:19:49,06R,211,F,Je dois changer de l’argent.,5,S,"French Phase 2, Units 1-30 (2004)","11,14",
549,FR,978-1-4423-5032-8,French 2,27,0:20:08,0:20:09,07Q,214,N,There’s a bank over there.,,,"French Phase 2, Units 1-30 (2004)","4,11",
550,FR,978-1-4423-5032-8,French 2,27,0:20:12,0:20:13,07R,215,M,Il y a une banque là-bas.,6,S,"French Phase 2, Units 1-30 (2004)","4,11",
551,FR,978-1-4423-5032-8,French 2,27,0:21:23,0:21:24,08Q,226,N,Right away.,,,"French Phase 2, Units 1-30 (2004)",7,
552,FR,978-1-4423-5032-8,French 2,27,0:21:27,0:21:27,08R,227,F,Tout de suite.,3,S,"French Phase 2, Units 1-30 (2004)",7,
553,FR,978-1-4423-5032-8,French 2,27,0:25:53,0:25:54,09Q,272,N,"Right away, or later.",,,"French Phase 2, Units 1-30 (2004)","7,17",
554,FR,978-1-4423-5032-8,French 2,27,0:25:58,0:25:59,09R,273,F,"Tout de suite, ou plus tard.",6,S,"French Phase 2, Units 1-30 (2004)","7,17",
555,FR,978-1-4423-5032-8,French 2,27,0:26:11,0:26:12,10Q,276,N,I have a meeting soon.,,,"French Phase 2, Units 1-30 (2004)",20,
556,FR,978-1-4423-5032-8,French 2,27,0:26:17,0:26:19,10R,277,M,J’ai une réunion bientôt.,4,S,"French Phase 2, Units 1-30 (2004)",20,
557,FR,978-1-4423-5032-8,French 2,28,0:01:47,0:01:48,01Q,29,N,You have to go into town.,,,"French Phase 2, Units 1-30 (2004)","9,18",
558,FR,978-1-4423-5032-8,French 2,28,0:01:52,0:01:54,01R,31,F,Vous devez aller en ville.,5,S,"French Phase 2, Units 1-30 (2004)","9,18",
559,FR,978-1-4423-5032-8,French 2,28,0:02:28,0:02:30,02Q,36,N,You can exchange money over there.,,,"French Phase 2, Units 1-30 (2004)","4,11",
560,FR,978-1-4423-5032-8,French 2,28,0:02:35,0:02:37,02R,37,F,Vous pouvez changer de l’argent là-bas.,6,S,"French Phase 2, Units 1-30 (2004)","4,11",
561,FR,978-1-4423-5032-8,French 2,28,0:03:15,0:03:17,03Q,43,N,Do you have to go there right away?,,,"French Phase 2, Units 1-30 (2004)","4,17,18",
562,FR,978-1-4423-5032-8,French 2,28,0:03:21,0:03:23,03R,44,F,Est-ce que vous devez y aller tout d’suite?,8,Q,"French Phase 2, Units 1-30 (2004)","4,17,18",
563,FR,978-1-4423-5032-8,French 2,28,0:04:14,0:04:15,04Q,52,N,It’s already noon.,,,"French Phase 2, Units 1-30 (2004)","7,17",
564,FR,978-1-4423-5032-8,French 2,28,0:04:18,0:04:20,04R,53,M,Il est déjà midi.,4,S,"French Phase 2, Units 1-30 (2004)","7,17",
565,FR,978-1-4423-5032-8,French 2,28,0:06:13,0:06:15,05Q,70,N,The meeting starts at half past twelve.,,,"French Phase 2, Units 1-30 (2004)","12,17,20",
566,FR,978-1-4423-5032-8,French 2,28,0:06:21,0:06:23,05R,72,M,La réunion commence à midi et demi.,7,S,"French Phase 2, Units 1-30 (2004)","12,17,20",
567,FR,978-1-4423-5032-8,French 2,28,0:12:40,0:12:42,06Q,134,N,I have to see her again.,,,"French Phase 2, Units 1-30 (2004)",9,
568,FR,978-1-4423-5032-8,French 2,28,0:12:45,0:12:47,06R,135,F,Je dois la revoir.,4,S,"French Phase 2, Units 1-30 (2004)",9,
569,FR,978-1-4423-5032-8,French 2,28,0:16:10,0:16:12,07Q,164,N,They have a very good wine list.,,,"French Phase 2, Units 1-30 (2004)","6,9",
570,FR,978-1-4423-5032-8,French 2,28,0:16:16,0:16:18,07R,165,M,Ils ont une très bonne carte des vins.,8,S,"French Phase 2, Units 1-30 (2004)","6,9",
571,FR,978-1-4423-5032-8,French 2,28,0:20:47,0:20:49,08Q,210,N,I like to travel by train.,,,"French Phase 2, Units 1-30 (2004)","1,18",
572,FR,978-1-4423-5032-8,French 2,28,0:20:53,0:20:54,08R,211,F,J’aime bien voyager en train.,5,S,"French Phase 2, Units 1-30 (2004)","1,18",
573,FR,978-1-4423-5032-8,French 2,28,0:23:13,0:23:15,09Q,233,N,I’m coming back by plane at noon.,,,"French Phase 2, Units 1-30 (2004)","17,18",
574,FR,978-1-4423-5032-8,French 2,28,0:23:19,0:23:21,09R,234,F,Je reviens en avion à midi.,6,S,"French Phase 2, Units 1-30 (2004)","17,18",
575,FR,978-1-4423-5032-8,French 2,28,0:24:29,0:24:30,10Q,245,N,Do you like to take the plane?,,,"French Phase 2, Units 1-30 (2004)",18,
576,FR,978-1-4423-5032-8,French 2,28,0:24:34,0:24:36,10R,246,M,Est-ce que vous aimez prendre l’avion?,6,Q,"French Phase 2, Units 1-30 (2004)",18,
577,FR,978-1-4423-5032-8,French 2,29,0:07:18,0:07:20,01Q,84,N,I want to buy today’s newspaper.,,,"French Phase 2, Units 1-30 (2004)","14,17",
578,FR,978-1-4423-5032-8,French 2,29,0:07:25,0:07:27,01R,85,F,Je veux acheter le journal d’aujourd’hui.,6,S,"French Phase 2, Units 1-30 (2004)","14,17",
579,FR,978-1-4423-5032-8,French 2,29,0:10:55,0:10:57,02Q,119,N,I’m coming back before the weekend.,,,"French Phase 2, Units 1-30 (2004)","9,17,18",
580,FR,978-1-4423-5032-8,French 2,29,0:11:01,0:11:03,02R,120,M,Je reviens avant le week-end.,5,S,"French Phase 2, Units 1-30 (2004)","9,17,18",
581,FR,978-1-4423-5032-8,French 2,29,0:11:55,0:11:58,03Q,128,N,I would like to stay there until Sunday morning.,,,"French Phase 2, Units 1-30 (2004)","17,18",
582,FR,978-1-4423-5032-8,French 2,29,0:12:03,0:12:05,03R,129,M,Je voudrais y rester jusqu’à dimanche matin.,7,S,"French Phase 2, Units 1-30 (2004)","17,18",
583,FR,978-1-4423-5032-8,French 2,29,0:12:54,0:12:55,04Q,138,N,What are you going to do next weekend?,,,"French Phase 2, Units 1-30 (2004)","1,17",
584,FR,978-1-4423-5032-8,French 2,29,0:13:00,0:13:02,04R,140,F,Qu’est-ce que vous allez faire le week-end prochain?,8,Q,"French Phase 2, Units 1-30 (2004)","1,17",
585,FR,978-1-4423-5032-8,French 2,29,0:16:08,0:16:09,05Q,170,N,At four o’clock in the afternoon?,,,"French Phase 2, Units 1-30 (2004)","12,17",
586,FR,978-1-4423-5032-8,French 2,29,0:16:16,0:16:18,05R,172,F,A quatre heures de l’après-midi?,5,Q,"French Phase 2, Units 1-30 (2004)","12,17",
587,FR,978-1-4423-5032-8,French 2,29,0:18:58,0:19:00,06Q,203,N,I’m leaving on Friday afternoon.,,,"French Phase 2, Units 1-30 (2004)","17,18",
588,FR,978-1-4423-5032-8,French 2,29,0:19:04,0:19:06,06R,204,M,Je pars vendredi après-midi.,4,S,"French Phase 2, Units 1-30 (2004)","17,18",
589,FR,978-1-4423-5032-8,French 2,29,0:22:29,0:22:31,07Q,240,N,I still have to write a letter.,,,"French Phase 2, Units 1-30 (2004)","1,3,9",
590,FR,978-1-4423-5032-8,French 2,29,0:22:35,0:22:37,07R,241,F,Je dois encore écrire une lettre.,6,S,"French Phase 2, Units 1-30 (2004)","1,3,9",
591,FR,978-1-4423-5032-8,French 2,29,0:23:31,0:23:34,08Q,250,N,I also want to buy this book.,,,"French Phase 2, Units 1-30 (2004)","1,14",
592,FR,978-1-4423-5032-8,French 2,29,0:23:38,0:23:40,08R,252,F,Je veux aussi acheter ce livre.,6,S,"French Phase 2, Units 1-30 (2004)","1,14",
593,FR,978-1-4423-5032-8,French 2,29,0:23:57,0:23:59,09Q,255,N,I’m coming back at half past one.,,,"French Phase 2, Units 1-30 (2004)","12,17",
594,FR,978-1-4423-5032-8,French 2,29,0:24:03,0:24:05,09R,256,F,Je reviens à une heure et demie.,7,S,"French Phase 2, Units 1-30 (2004)","12,17",
595,FR,978-1-4423-5032-8,French 2,29,0:26:53,0:26:55,10Q,284,N,They’re arriving at two o’clock of the afternoon.,,,"French Phase 2, Units 1-30 (2004)","12,17,18",
596,FR,978-1-4423-5032-8,French 2,29,0:26:59,0:27:02,10R,285,F,Ils arrivent à deux heures de l’après- midi.,7,S,"French Phase 2, Units 1-30 (2004)","12,17,18",
597,FR,978-1-4423-5032-8,French 2,30,0:01:37,0:01:39,01Q,28,N,Do you have any mineral water?,,,"French Phase 2, Units 1-30 (2004)",6,
598,FR,978-1-4423-5032-8,French 2,30,0:01:43,0:01:45,01R,29,M,Est-ce que vous avez de l’eau minérale?,7,Q,"French Phase 2, Units 1-30 (2004)",6,
599,FR,978-1-4423-5032-8,French 2,30,0:02:24,0:02:25,02Q,35,N,Do you have today’s newspaper?,,,"French Phase 2, Units 1-30 (2004)","9,17",
600,FR,978-1-4423-5032-8,French 2,30,0:02:29,0:02:31,02R,36,F,Est-ce que vous avez le journal d’aujourd’hui?,7,Q,"French Phase 2, Units 1-30 (2004)","9,17",
601,FR,978-1-4423-5032-8,French 2,30,0:03:31,0:03:32,03Q,47,N,Let’s go there at noon.,,,"French Phase 2, Units 1-30 (2004)","9,17",
602,FR,978-1-4423-5032-8,French 2,30,0:03:35,0:03:36,03R,48,F,Allons-y à midi.,3,S,"French Phase 2, Units 1-30 (2004)","9,17",
603,FR,978-1-4423-5032-8,French 2,30,0:11:17,0:11:19,04Q,124,N,Are you going there by plane?,,,"French Phase 2, Units 1-30 (2004)",18,
604,FR,978-1-4423-5032-8,French 2,30,0:11:22,0:11:24,04R,125,M,Est-ce que vous y allez en avion?,7,Q,"French Phase 2, Units 1-30 (2004)",18,
605,FR,978-1-4423-5032-8,French 2,30,0:12:02,0:12:03,05Q,132,N,Do you have the time this weekend?,,,"French Phase 2, Units 1-30 (2004)",17,
606,FR,978-1-4423-5032-8,French 2,30,0:12:07,0:12:09,05R,134,F,Est-ce que vous avez le temps ce week-end?,8,Q,"French Phase 2, Units 1-30 (2004)",17,
607,FR,978-1-4423-5032-8,French 2,30,0:13:32,0:13:34,06Q,149,N,We’re going to pay a visit to our daughter.,,,"French Phase 2, Units 1-30 (2004)","5,11,14,18",
608,FR,978-1-4423-5032-8,French 2,30,0:13:38,0:13:40,06R,150,M,Nous allons rendre visite à notre fille.,7,S,"French Phase 2, Units 1-30 (2004)","5,11,14,18",
609,FR,978-1-4423-5032-8,French 2,30,0:15:35,0:15:36,07Q,171,N,How does one get to your place?,,,"French Phase 2, Units 1-30 (2004)","4,18",
610,FR,978-1-4423-5032-8,French 2,30,0:15:40,0:15:41,07R,172,M,Comment est-ce qu’on va chez vous?,6,Q,"French Phase 2, Units 1-30 (2004)","4,18",
611,FR,978-1-4423-5032-8,French 2,30,0:20:53,0:20:55,08Q,224,N,I can show you on the map.,,,"French Phase 2, Units 1-30 (2004)","4,18",
612,FR,978-1-4423-5032-8,French 2,30,0:20:59,0:21:01,08R,225,F,Je peux vous montrer sur le plan.,7,S,"French Phase 2, Units 1-30 (2004)","4,18",
613,FR,978-1-4423-5032-8,French 2,30,0:26:45,0:26:46,09Q,284,N,Can you show me on this map?,,,"French Phase 2, Units 1-30 (2004)","4,18",
614,FR,978-1-4423-5032-8,French 2,30,0:26:50,0:26:53,09R,285,M,Est-ce que vous pouvez me montrer sur ce plan?,9,Q,"French Phase 2, Units 1-30 (2004)","4,18",
615,FR,978-1-4423-5032-8,French 2,30,0:27:02,0:27:03,10Q,287,N,"Look, take this street.",,,"French Phase 2, Units 1-30 (2004)",4,
616,FR,978-1-4423-5032-8,French 2,30,0:27:07,0:27:09,10R,288,F,"Regardez, prenez cette rue.",4,S,"French Phase 2, Units 1-30 (2004)",4,
